slug,name,category,tier,description,date_added,last_tested
concrete-calculator,Concrete Calculator,home,2,"Calculate concrete volume, cement bags and mix ratios for slabs, circular pads and post holes. Get quantities for premix bags or DIY mixing with cost estimates.",2026-03-11,2026-03-11
uk-lotto-number-picker,UK Lotto Number Picker,games,2,"Generate random UK National Lottery numbers. Pick 6 numbers from 1-59 with animated ball reveals, quick pick 5 lines at once, and track your pick history.",2026-03-11,2026-03-11
euromillions-number-picker,EuroMillions Number Picker,games,2,Generate random EuroMillions numbers. Pick 5 main numbers (1-50) plus 2 Lucky Stars (1-12) with animated reveals and multi-line quick picks.,2026-03-11,2026-03-11
thunderball-number-picker,Thunderball Number Picker,games,2,Generate random Thunderball numbers. Pick 5 main numbers (1-39) plus 1 Thunderball (1-14) with animated ball reveals and quick pick options.,2026-03-11,2026-03-11
set-for-life-number-picker,Set for Life Number Picker,games,2,Generate random Set for Life numbers. Pick 5 main numbers (1-47) plus 1 Life Ball (1-10) with animated reveals and multi-line quick picks.,2026-03-11,2026-03-11
powerball-number-picker,Powerball Number Picker,games,2,Generate random US Powerball numbers. Pick 5 main numbers (1-69) plus 1 Powerball (1-26) with animated ball reveals and quick pick options.,2026-03-11,2026-03-11
mega-millions-number-picker,Mega Millions Number Picker,games,2,Generate random US Mega Millions numbers. Pick 5 main numbers (1-70) plus 1 Mega Ball (1-25) with animated reveals and multi-line quick picks.,2026-03-11,2026-03-11
big-five-personality-test,Big Five Personality Test,quiz,1,"Discover your personality across Openness, Conscientiousness, Extraversion, Agreeableness, and Neuroticism. 50 research-backed questions with radar chart results and a shareable personality card.",2026-03-11,2026-03-11
attachment-style-quiz,Attachment Style Quiz,quiz,2,"Discover your attachment style — Secure, Anxious, Avoidant, or Fearful-Avoidant. 20 questions based on Bowlby & Ainsworth's attachment theory with shareable results card.",2026-03-11,2026-03-11
love-language-quiz,Love Language Quiz,quiz,2,"Find your primary love language — Words of Affirmation, Acts of Service, Receiving Gifts, Quality Time, or Physical Touch. 25 questions with partner communication tips.",2026-03-11,2026-03-11
self-esteem-scale,Self-Esteem Assessment,quiz,2,Measure your self-esteem with the Rosenberg Self-Esteem Scale — the world's most widely used self-esteem measure. 10 questions with score interpretation and downloadable results.,2026-03-11,2026-03-11
depression-screening-phq9,Depression Screening (PHQ-9),quiz,2,"Quick, clinically validated depression screening based on the PHQ-9. 9 questions used by GPs worldwide. Includes score interpretation and mental health support resources.",2026-03-11,2026-03-11
anxiety-screening-gad7,Anxiety Screening (GAD-7),quiz,2,Clinically validated anxiety screening based on the GAD-7. 7 questions used by healthcare professionals worldwide. Includes score interpretation and support resources.,2026-03-11,2026-03-11
narcissism-test,Narcissism Test (NPI-16),quiz,2,Measure narcissistic personality traits with the NPI-16 — a research-validated short assessment. 16 forced-choice questions with comparison to population average.,2026-03-11,2026-03-11
emotional-intelligence-quiz,Emotional Intelligence Quiz,quiz,2,"Assess your emotional intelligence across 4 domains — Perceiving, Using, Understanding, and Managing emotions. 20 real-world scenarios with EQ score and growth tips.",2026-03-11,2026-03-11
crush-quiz,Does My Crush Like Me?,quiz,2,Find out if your crush might have feelings for you! 15 fun questions about their behaviour — from texting habits to body language. Shareable results card included.,2026-03-11,2026-03-11
red-flags-quiz,Is My Partner Toxic? (Red Flags Quiz),quiz,2,"Are you investigating if your relationship is toxic? Take our free red flags test. Answer 20 questions to identify warning signs, control, or manipulation from a partner.",2026-03-11,2026-03-11
communication-style-quiz,Communication Style Quiz,quiz,2,"Discover your communication style — Passive, Aggressive, Passive-Aggressive, or Assertive. 16 real-world scenarios with tips for more effective communication.",2026-03-11,2026-03-11
betting-odds-calculator,Betting Odds Calculator,sports,2,"Calculate potential returns for single bets, accumulators, and each-way bets. Convert between fractional, decimal, and American odds. Essential tool for UK punters.",2026-03-11,2026-03-11
darts-score-tracker,Darts Score Tracker,sports,1,"Live darts scoreboard for 501, 301, and 701. 2-4 players with quick score buttons, checkout suggestions, bust detection, and full match statistics.",2026-03-11,2026-03-11
tournament-bracket-generator,Tournament Bracket Generator,sports,1,"Create tournament brackets and fixtures for any competition. Single elimination, double elimination, or round robin. Enter team names, randomise seedings, track results.",2026-03-11,2026-03-11
running-training-plan,Running Training Plan Generator,sports,1,"Generate a personalised running training plan for 5K, 10K, half marathon or marathon. Choose your level, training weeks, and get a printable week-by-week schedule.",2026-03-11,2026-03-11
golf-handicap-calculator,Golf Handicap Calculator,sports,2,"Calculate your golf handicap using the World Handicap System (WHS). Enter rounds, get your Handicap Index, and calculate Course Handicap for any course.",2026-03-11,2026-03-11
macro-calculator,Macro Calculator,health,1,"Calculate your daily protein, carbs, and fat targets for any diet — keto, high protein, Mediterranean, vegan, paleo, and more. Includes per-meal breakdown and downloadable macro card.",2026-03-11,2026-03-11
invoice-generator,Invoice Generator,business,1,"Create professional invoices for free. Add your business details, line items, tax, discounts, and download a clean invoice image — no account needed.",2026-03-11,2026-03-11
colour-palette-generator,Colour Palette Generator,creative,1,"Generate beautiful colour palettes instantly. Choose from random, monochromatic, analogous, complementary, triadic, pastel, and more. Lock colours, copy hex codes, download as PNG.",2026-03-11,2026-03-11
pomodoro-timer,Pomodoro Timer,datetime,1,"Free online Pomodoro timer with customisable work and break durations. Track focus sessions, see daily stats, and boost your productivity with the Pomodoro Technique.",2026-03-11,2026-03-11
sudoku-generator,Sudoku Generator,games,1,"Generate and play Sudoku puzzles online. Four difficulty levels from easy to expert, with pencil notes, hints, timer, and downloadable printable puzzles.",2026-03-11,2026-03-11
mortgage-affordability-calculator,Mortgage Affordability Calculator,finance,1,"Find out how much mortgage you could borrow based on your salary, outgoings, and deposit. Uses UK affordability rules with salary multiplier comparison table.",2026-03-11,2026-03-11
unit-price-calculator,Unit Price Calculator,home,2,"Compare supermarket prices per unit to find the best deal. Add up to 6 products with different sizes and units — instantly see price per 100g, per litre, and which is best value.",2026-03-11,2026-03-11
aspect-ratio-calculator,Aspect Ratio Calculator,creative,2,"Calculate and convert aspect ratios for images and video. Lock ratios, use platform presets for Instagram, YouTube, TikTok, and more. Shows megapixels and orientation.",2026-03-11,2026-03-11
baby-growth-calculator,Baby Growth Percentile Calculator,parenting,1,"Plot your baby on WHO growth charts. Enter age, weight, and length to see their percentile for 0-24 months — with visual growth chart and friendly explanations.",2026-03-11,2026-03-11
readability-checker,Readability Score Checker,text,2,"Check how easy your text is to read. Get Flesch Reading Ease, Flesch-Kincaid Grade Level, Gunning Fog, SMOG, and Coleman-Liau scores with improvement suggestions.",2026-03-11,2026-03-11
word-search-generator,Word Search Generator,education,1,"Create custom word search puzzles online. Choose your own words or pick a theme, set grid size and difficulty, play interactively, and download printable puzzles.",2026-03-12,2026-03-12
christmas-word-search,Christmas Word Search,education,2,"Free printable Christmas word search puzzle with festive words like reindeer, stocking, tinsel, and mistletoe. Play online or download and print.",2026-03-12,2026-03-12
halloween-word-search,Halloween Word Search,education,2,"Free printable Halloween word search with spooky words like vampire, skeleton, cauldron, and broomstick. Play online or download and print.",2026-03-12,2026-03-12
animals-word-search,Animals Word Search,education,2,"Free printable animals word search puzzle featuring elephant, giraffe, penguin, dolphin, and more. Perfect for classrooms and kids. Play online or print.",2026-03-12,2026-03-12
word-scramble-generator,Word Scramble Generator,education,2,Create word scramble worksheets from your own words or preset themes. Three difficulty levels. Download printable worksheets with answer keys.,2026-03-12,2026-03-12
handwriting-practice-sheet,Handwriting Practice Sheet Generator,education,2,"Generate custom handwriting practice sheets with traced letters and blank lines. Choose print or cursive, adjust spacing and size. Download printable worksheets.",2026-03-12,2026-03-12
spelling-test-generator,Spelling Test Generator,education,2,"Create spelling test sheets from your word list. Generates shuffled tests with numbered blanks, optional sentence lines, and answer keys. Download printable tests.",2026-03-12,2026-03-12
times-tables-practice,Times Tables Practice,education,2,"Interactive times tables drill with instant feedback and score tracking. Pick your tables, race the clock, and print practice worksheets. Perfect for kids and classrooms.",2026-03-12,2026-03-12
maths-worksheet-generator,Maths Worksheet Generator,education,2,"Generate printable maths worksheets with addition, subtraction, multiplication, and division. Set difficulty, number range, and question count. Includes answer keys.",2026-03-12,2026-03-12
citation-generator,Citation Generator,education,2,"Generate citations in APA, MLA, Harvard, Chicago, and Vancouver formats. Supports books, websites, journals, newspapers, and videos. Build full bibliographies.",2026-03-12,2026-03-12
uk-dividend-tax-calculator,UK Dividend Tax Calculator,finance,2,"Calculate tax on your UK dividend income for 2026/27. Shows the £500 dividend allowance, basic (8.75%), higher (33.75%) and additional (39.35%) rates with a full breakdown.",2026-03-12,2026-03-12
uk-capital-gains-tax-calculator,UK Capital Gains Tax Calculator,finance,2,"Calculate CGT on shares, property or business assets for 2026/27. Includes the £3,000 annual exempt amount, Business Assets Relief, and residential property rates.",2026-03-12,2026-03-12
uk-inheritance-tax-calculator,UK Inheritance Tax Calculator,finance,2,"Estimate your UK inheritance tax bill. Includes nil-rate band (£325k), residence nil-rate band (£175k), spouse exemption, charity rate, and taper relief for large estates.",2026-03-12,2026-03-12
uk-student-loan-calculator,UK Student Loan Repayment Calculator,finance,2,"Calculate your monthly student loan repayment and see how long until it is paid off. Supports Plan 1, 2, 4, 5 and Postgraduate loans with projected timelines.",2026-03-12,2026-03-12
uk-pension-calculator,UK Pension Calculator,finance,2,"Project your pension pot at retirement. Enter your salary, contributions and growth rate to see a year-by-year forecast, tax relief breakdown and estimated retirement income.",2026-03-12,2026-03-12
uk-salary-sacrifice-calculator,UK Salary Sacrifice Calculator,finance,2,"See how much you save with salary sacrifice. Compare take-home pay before and after sacrificing for pension, cycle to work, childcare vouchers or EV lease.",2026-03-12,2026-03-12
uk-self-assessment-estimator,UK Self-Assessment Tax Estimator,finance,2,"Estimate your self-assessment tax bill for 2026/27. Enter employment, self-employment, rental, dividend and other income to see your total tax, NI and payments on account.",2026-03-12,2026-03-12
uk-buy-to-let-calculator,UK Buy-to-Let Calculator,finance,2,"Calculate rental yield, cash flow and profit for a UK buy-to-let investment. Includes SDLT surcharge, Section 24 mortgage interest rules, and tax at your marginal rate.",2026-03-12,2026-03-12
mm-to-inches,MM to Inches Converter,converters,3,Convert millimetres to inches instantly. Free online mm to inch calculator with common conversion table and formula.,2026-03-12,2026-03-12
inches-to-mm,Inches to MM Converter,converters,3,Convert inches to millimetres quickly. Free online inch to mm calculator with common conversions and formula.,2026-03-12,2026-03-12
metres-to-yards,Metres to Yards Converter,converters,3,Convert metres to yards instantly. Free online metre to yard calculator with common values and conversion formula.,2026-03-12,2026-03-12
yards-to-metres,Yards to Metres Converter,converters,3,Convert yards to metres quickly. Free online yard to metre calculator with common conversions and formula.,2026-03-12,2026-03-12
mm-to-cm,MM to CM Converter,converters,3,Convert millimetres to centimetres instantly. Free online mm to cm calculator with common values and formula.,2026-03-12,2026-03-12
cm-to-mm,CM to MM Converter,converters,3,Convert centimetres to millimetres quickly. Free online cm to mm calculator with common conversions and formula.,2026-03-12,2026-03-12
metres-to-km,Metres to Kilometres Converter,converters,3,Convert metres to kilometres instantly. Free online m to km calculator with common values and conversion formula.,2026-03-12,2026-03-12
km-to-metres,Kilometres to Metres Converter,converters,3,Convert kilometres to metres quickly. Free online km to m calculator with common conversions and formula.,2026-03-12,2026-03-12
feet-to-inches,Feet to Inches Converter,converters,3,Convert feet to inches instantly. Free online feet to inches calculator with common values and conversion formula.,2026-03-12,2026-03-12
inches-to-feet,Inches to Feet Converter,converters,3,Convert inches to feet and inches. Free online inch to feet calculator with display in feet and inches format.,2026-03-12,2026-03-12
oz-to-ml,Fluid Ounces to ML Converter,converters,3,Convert fluid ounces to millilitres instantly. Free online fl oz to ml calculator with common values and formula.,2026-03-12,2026-03-12
ml-to-oz,ML to Fluid Ounces Converter,converters,3,Convert millilitres to fluid ounces quickly. Free online ml to fl oz calculator with common conversions and formula.,2026-03-12,2026-03-12
grams-to-kg,Grams to Kilograms Converter,converters,3,Convert grams to kilograms instantly. Free online g to kg calculator with common conversion values and formula.,2026-03-12,2026-03-12
kg-to-grams,Kilograms to Grams Converter,converters,3,Convert kilograms to grams quickly. Free online kg to g calculator with common conversions and formula.,2026-03-12,2026-03-12
miles-to-metres,Miles to Metres Converter,converters,3,Convert miles to metres instantly. Free online mile to metre calculator with common values and conversion formula.,2026-03-12,2026-03-12
metres-to-miles,Metres to Miles Converter,converters,3,Convert metres to miles quickly. Free online metre to mile calculator with common conversions and formula.,2026-03-12,2026-03-12
celsius-to-kelvin,Celsius to Kelvin Converter,converters,3,Convert Celsius to Kelvin instantly. Free online temperature converter with common values and the conversion formula.,2026-03-12,2026-03-12
kelvin-to-celsius,Kelvin to Celsius Converter,converters,3,Convert Kelvin to Celsius quickly. Free online temperature converter with common conversions and formula.,2026-03-12,2026-03-12
cups-to-tbsp,Cups to Tablespoons Converter,converters,3,Convert cups to tablespoons instantly. Free online cups to tbsp calculator for cooking and baking recipes.,2026-03-12,2026-03-12
tbsp-to-cups,Tablespoons to Cups Converter,converters,3,Convert tablespoons to cups quickly. Free online tbsp to cups calculator for cooking and baking measurements.,2026-03-12,2026-03-12
tbsp-to-tsp,Tablespoons to Teaspoons Converter,converters,3,Convert tablespoons to teaspoons instantly. Free online tbsp to tsp calculator for precise recipe measurements.,2026-03-12,2026-03-12
tsp-to-tbsp,Teaspoons to Tablespoons Converter,converters,3,Convert teaspoons to tablespoons quickly. Free online tsp to tbsp calculator for cooking and baking recipes.,2026-03-12,2026-03-12
lbs-to-oz,Pounds to Ounces Converter,converters,3,Convert pounds to ounces instantly. Free online lbs to oz calculator with common weight conversions and formula.,2026-03-12,2026-03-12
oz-to-lbs,Ounces to Pounds Converter,converters,3,Convert ounces to pounds quickly. Free online oz to lbs calculator with common weight conversions and formula.,2026-03-12,2026-03-12
mortgage-overpayment-calculator,Mortgage Overpayment Calculator,finance,2,"See how much you could save by overpaying your mortgage. Calculate time saved, interest saved, and compare your new payoff date with your original term.",2026-03-12,2026-03-12
debt-snowball-calculator,Debt Snowball Calculator,finance,2,"Compare Snowball and Avalanche debt payoff strategies. Add your debts, set an extra payment amount, and see which method gets you debt-free fastest.",2026-03-12,2026-03-12
colour-contrast-checker-pro,Colour Contrast Checker,creative,2,Check your text and background colour combinations against WCAG AA and AAA accessibility standards. Get contrast ratios and fix suggestions instantly.,2026-03-12,2026-03-12
energy-cost-calculator,Energy Cost Calculator,home,2,"Calculate the running cost of your household appliances. See costs per hour, day, week, month, and year based on current UK electricity rates.",2026-03-12,2026-03-12
split-bill-calculator,Split Bill Calculator,finance,2,Split a restaurant bill between friends with tip calculation. Choose equal split or itemised mode to assign dishes to individuals.,2026-03-12,2026-03-12
savings-goal-calculator,Savings Goal Calculator,finance,2,"Work out how much to save per week, fortnight, or month to hit your savings target. See a month-by-month breakdown with optional interest.",2026-03-12,2026-03-12
salary-breakdown-visualiser,Salary Breakdown Visualiser,finance,2,"See exactly where your UK salary goes. Visual breakdown of income tax, National Insurance, pension, student loan, and your monthly expenses.",2026-03-12,2026-03-12
rent-vs-buy-calculator,Rent vs Buy Calculator,finance,2,"Compare the total cost of renting versus buying a home in the UK over 5 to 25 years. Includes stamp duty, maintenance, equity, and mortgage costs.",2026-03-12,2026-03-12
pixel-to-rem-converter,Pixel to REM Converter,developer,2,"Convert pixels to REM units and back. Set your base font size, see a reference table of common values, and copy CSS with one click.",2026-03-12,2026-03-12
box-shadow-generator,CSS Box Shadow Generator,developer,2,"Build CSS box shadows visually with live preview. Adjust offset, blur, spread, colour, and opacity. Stack multiple layers and copy the CSS.",2026-03-12,2026-03-12
gradient-generator,CSS Gradient Generator,developer,2,"Create beautiful CSS gradients with a visual builder. Choose colours, positions, angles, and gradient type. Copy the CSS with vendor prefixes.",2026-03-12,2026-03-12
electricity-bill-estimator,Electricity Bill Estimator,home,2,"Estimate your UK electricity bill from meter readings or kWh usage. Supports standard, fixed rate, and Economy 7 tariffs with current rates.",2026-03-12,2026-03-12
screen-size-calculator,Screen Size Calculator,maths,2,"Calculate the actual width and height of a screen from its diagonal size and aspect ratio. Useful when buying monitors, TVs, or tablets.",2026-03-12,2026-03-12
wedding-guest-list-manager,Wedding Guest List Manager,wedding,1,"Manage your wedding guest list with RSVP tracking, dietary requirements, table assignments, and plus-ones. Filter and sort your full guest list.",2026-03-12,2026-03-12
signature-pad,Signature Pad,creative,2,Draw your signature digitally and download it as a transparent PNG. Choose pen colour and thickness for a natural-looking result.,2026-03-12,2026-03-12
pixel-art-maker,Pixel Art Maker,creative,2,"Create pixel art with a grid-based editor. Choose grid size, colours, and tools like pen, eraser, and fill. Download your creation as PNG.",2026-03-12,2026-03-12
meme-generator,Meme Generator,creative,2,Create memes with custom text on uploaded images or colour backgrounds. Classic top and bottom text with Impact-style font and black outline.,2026-03-12,2026-03-12
photo-filter-tool,Photo Filter Tool,creative,2,"Apply filters to your photos right in the browser. Adjust brightness, contrast, saturation, blur, and more. Quick presets and before/after comparison.",2026-03-12,2026-03-12
whiteboard,Whiteboard,creative,2,"A freehand drawing board with pen, highlighter, eraser, and shape tools. Choose colours and brush sizes, then download your drawing as PNG.",2026-03-12,2026-03-12
easter-egg-hunt-clue-generator,Easter Egg Hunt Clue Generator,parenting,1,"Generate rhyming clue cards for Easter egg hunts. Choose age group, location and theme to get printable clues with a parent cheat sheet of hiding spots.",2026-03-12,2026-03-12
christmas-treasure-hunt-generator,Christmas Treasure Hunt Generator,parenting,1,Create a magical Christmas morning treasure hunt leading to presents. Personalise with your child's name and choose age-appropriate clues for common household locations.,2026-03-12,2026-03-12
birthday-party-game-planner,Birthday Party Game Planner,parenting,1,"Plan the perfect kids' birthday party with a timed game schedule. Pick age group, theme and duration to get game rules, a materials checklist and printable scorecards.",2026-03-12,2026-03-12
treasure-hunt-clue-generator,Treasure Hunt Clue Generator,parenting,1,"Generate themed treasure hunt clues for any occasion. Choose from pirates, space, nature or detective themes with age-appropriate riddles for indoor or outdoor hunts.",2026-03-12,2026-03-12
pass-the-parcel-forfeit-generator,Pass the Parcel Forfeit Generator,parenting,2,"Generate fun, age-appropriate forfeits and challenges for each layer of pass the parcel. Perfect for birthday parties with kids of all ages.",2026-03-12,2026-03-12
kids-activity-spinner,Kids Activity Spinner,parenting,2,"Spin the wheel for a random kids' activity with full instructions. Filter by age group, indoor or outdoor, and available time for instant activity ideas.",2026-03-12,2026-03-12
scavenger-hunt-generator,Scavenger Hunt Generator,parenting,2,"Create printable scavenger hunt checklists for nature walks, indoor play or park adventures. Season-aware with age-appropriate items and pictures for younger kids.",2026-03-12,2026-03-12
rainy-day-schedule-generator,Rainy Day Schedule Generator,parenting,2,"Fill a rainy day with balanced activities for kids. Get a timed schedule mixing crafts, games, baking, screen time and reading, tailored to your child's age.",2026-03-12,2026-03-12
science-experiment-generator,Science Experiment Generator,parenting,2,"Discover fun, safe science experiments for kids using household items. Filter by age, mess level and materials to get step-by-step instructions with explanations.",2026-03-12,2026-03-12
craft-project-generator,Craft Project Generator,parenting,2,"Get instant craft project ideas with step-by-step instructions for kids. Filter by age, available materials and difficulty for the perfect creative activity.",2026-03-12,2026-03-12
elf-on-the-shelf-idea-generator,Elf on the Shelf Idea Generator,parenting,2,Get 25 days of creative Elf on the Shelf scenarios with setup instructions and supply lists. Filter by difficulty and location for stress-free holiday magic.,2026-03-12,2026-03-12
advent-calendar-activity-generator,Advent Calendar Activity Generator,parenting,2,"Generate 24 unique daily activities for December 1 to 24. Mix of crafts, baking, games, kindness tasks and adventures, tailored to your child's age and budget.",2026-03-12,2026-03-12
halloween-scavenger-hunt,Halloween Scavenger Hunt,parenting,2,Create a spooky scavenger hunt for Halloween with age-appropriate items. Choose scare level from friendly to full Halloween for indoor or garden hunts.,2026-03-12,2026-03-12
phonics-treasure-hunt,Phonics Treasure Hunt,parenting,2,Create an educational treasure hunt where kids find letter cards and build words. Choose target sounds and age group for a fun phonics activity at home.,2026-03-12,2026-03-12
party-bag-checklist-generator,Party Bag Checklist Generator,parenting,2,"Plan party bags on any budget. Pick age group, theme and budget per bag to get a complete shopping list with item quantities and estimated total cost.",2026-03-12,2026-03-12
which-decade-do-you-belong-in,Which Decade Do You Belong In?,quiz,2,"Take our fun personality quiz to discover which decade suits you best. Answer 12 lifestyle questions to find out if you are a 50s soul, an 80s kid or a 00s native.",2026-03-12,2026-03-12
what-type-of-friend-are-you,What Type of Friend Are You?,quiz,2,"Find out your friendship style with this personality quiz. Are you the Mum Friend, the Chaos Friend, the Planner, the Therapist or the Hype Person?",2026-03-12,2026-03-12
what-dog-breed-are-you,What Dog Breed Are You?,quiz,2,"Discover which dog breed matches your personality. Answer 12 questions about your lifestyle, energy level and social preferences to find your canine counterpart.",2026-03-12,2026-03-12
what-career-suits-you,What Career Suits You?,quiz,2,Explore career paths that match your personality and strengths. Answer 15 questions inspired by Holland codes to discover your ideal career cluster.,2026-03-12,2026-03-12
how-british-are-you,How British Are You?,quiz,2,Test your British knowledge and mannerisms with 15 cultural questions. Get a percentage score from Basically American to More British Than The Queen.,2026-03-12,2026-03-12
hogwarts-house-quiz,Fantasy House Sorting Quiz,quiz,2,"Discover which fantasy house you belong to: The Scholars, The Brave, The Ambitious or The Loyal. Answer 12 personality questions to find your true house.",2026-03-12,2026-03-12
introvert-extrovert-scale,Introvert or Extrovert Scale,quiz,2,Find where you sit on the introvert to extrovert spectrum. Answer 15 questions for a percentage score with personalised tips for your personality type.,2026-03-12,2026-03-12
stress-level-assessment,Stress Level Assessment,quiz,2,Measure your perceived stress with the validated PSS-10 questionnaire. Get a score with personalised stress management tips. For educational purposes only.,2026-03-12,2026-03-12
what-element-are-you,What Element Are You?,quiz,2,"Discover if you are Fire, Water, Earth or Air. Answer 10 personality questions to find your element with traits, strengths, weaknesses and compatibility.",2026-03-12,2026-03-12
mental-age-quiz,Mental Age Quiz,quiz,2,"Find your mental age with 15 fun questions about habits, preferences and reactions. A light-hearted quiz for entertainment only. Share your result with friends!",2026-03-12,2026-03-12
pub-quiz-generator,Pub Quiz Generator,games,1,"Generate a complete pub quiz with rounds, questions and answers. Choose from 10 categories and 3 difficulty levels with 1,000+ questions in the database.",2026-03-12,2026-03-12
scattergories-list-generator,Scattergories List Generator,games,2,Generate random Scattergories rounds with a letter and 12 categories. Includes a built-in timer and 100+ category options for endless game nights.,2026-03-12,2026-03-12
music-round-generator,Music Round Generator,games,2,Create a music round for your quiz night. Filter by decade and genre from a database of 150+ songs. Generate song or artist questions with answer key.,2026-03-12,2026-03-12
secret-santa-generator,Secret Santa Generator,games,1,"Generate Secret Santa pairings for your group. Add participants, set exclusions and budget, then reveal assignments one at a time so nobody sees anyone else's match.",2026-03-12,2026-03-12
who-knows-me-best,Who Knows Me Best?,games,2,"Create a personal quiz about yourself for friends to answer. Enter your questions and answers, then share and see who knows you best with automatic scoring.",2026-03-12,2026-03-12
couples-quiz-generator,Couples Quiz Generator,games,2,"Generate a Mr and Mrs style couples quiz. Choose sweet, funny or spicy questions for date nights, hen dos or anniversaries. 100+ questions in the database.",2026-03-12,2026-03-12
pub-quiz-answer-sheet-printer,Pub Quiz Answer Sheet Printer,games,2,"Print clean answer sheets for your quiz night. Set team name, rounds and questions per round for a professional answer grid with scoring section.",2026-03-12,2026-03-12
wedding-timeline-builder,Wedding Timeline Builder,wedding,2,Generate a complete wedding day timeline from ceremony to last dance. Set your ceremony time and preferences to get a minute-by-minute schedule with buffer times.,2026-03-12,2026-03-12
wedding-table-name-generator,Wedding Table Name Generator,wedding,2,"Generate themed table names for your wedding reception. Choose from flowers, cities, films, books, wines and more, each with a description or fun fact.",2026-03-12,2026-03-12
hen-do-planner,Hen Do Planner,wedding,2,"Plan the perfect hen party with a full itinerary, budget split and packing list. Choose budget tier, location type and duration for a stress-free celebration.",2026-03-12,2026-03-12
wedding-speech-outline-generator,Wedding Speech Outline Generator,wedding,2,"Get a structured outline for your wedding speech. Choose your role, tone and add key stories for a speech framework covering opening, stories, tribute and toast.",2026-03-12,2026-03-12
wedding-invitation-wording-generator,Wedding Invitation Wording Generator,wedding,2,"Generate elegant invitation wording for your wedding. Choose formality level and ceremony type, then customise with your details for three wording options.",2026-03-12,2026-03-12
moving-house-checklist,Moving House Checklist,home,2,"Get a dated moving checklist counting down from 8 weeks to moving day. Track tasks like notifying utilities, arranging removals and redirecting post.",2026-03-12,2026-03-12
broadband-speed-converter,Broadband Speed Converter,home,2,"Convert broadband speeds between Mbps, MB/s and Gbps. See real-world download times for photos, songs, HD films and games at your connection speed.",2026-03-12,2026-03-12
cleaning-schedule-generator,Cleaning Schedule Generator,home,2,"Generate a weekly cleaning rota for your household. Assign 40+ cleaning tasks across rooms and people for a fair, organised schedule you can print.",2026-03-12,2026-03-12
tv-size-calculator,TV Size Calculator,home,2,Find the perfect TV size for your room. Enter your viewing distance to get a recommended screen size with an optimal viewing distance reference table.,2026-03-12,2026-03-12
habit-tracker,Habit Tracker,home,2,"Create a printable monthly habit tracker grid. Add up to 10 habits, pick your month and track daily completion with percentage stats for each habit.",2026-03-12,2026-03-12
tipping-guide-abroad,Tipping Guide Abroad,home,2,"Check tipping customs for 25+ countries. See expected percentages for restaurants, taxis, hotels and more with local etiquette notes for each destination.",2026-03-12,2026-03-12
home-inventory-tracker,Home Inventory Tracker,home,2,Track your home contents room by room for insurance. Add items with values and purchase years to get a complete inventory with total estimated value.,2026-03-12,2026-03-12
halloween-costume-idea-generator,Halloween Costume Idea Generator,seasonal,2,"Get Halloween costume ideas for any age and budget. Filter by age group, solo or group, and DIY level for creative costume suggestions with materials lists.",2026-03-12,2026-03-12
christmas-gift-budget-tracker,Christmas Gift Budget Tracker,seasonal,2,"Track your Christmas gift spending with a per-person budget. See allocated, spent and remaining amounts with traffic-light indicators and overall totals.",2026-03-12,2026-03-12
christmas-dinner-planner,Christmas Dinner Planner,seasonal,2,"Plan your Christmas dinner for 2 to 20 guests. Get a shopping list with quantities, a cooking timeline working backwards from serving time and dietary adaptations.",2026-03-12,2026-03-12
easter-activity-planner,Easter Activity Planner,seasonal,2,"Plan a full day of Easter fun for kids. Get a timed schedule of egg decorating, hunts, crafts and games tailored to age group, location and duration.",2026-03-12,2026-03-12
bonfire-night-planner,Bonfire Night Planner,seasonal,2,"Plan a safe and fun Bonfire Night with a safety checklist, food quantity calculator and sparkler safety guide. Perfect for hosting a garden fireworks party.",2026-03-12,2026-03-12
back-to-school-checklist,Back to School Checklist,seasonal,2,"Get a UK-specific back-to-school supplies checklist by year group. Covers uniform, stationery, PE kit, bags and lunch supplies for primary and secondary.",2026-03-12,2026-03-12
mothers-day-gift-idea-generator,Mother's Day Gift Idea Generator,seasonal,2,"Get personalised Mother's Day gift suggestions based on her interests, your budget and your relationship. Thoughtful ideas from handmade to luxury.",2026-03-12,2026-03-12
fathers-day-gift-idea-generator,Father's Day Gift Idea Generator,seasonal,2,"Get personalised Father's Day gift suggestions based on his interests, your budget and your relationship. Ideas from experiences to gadgets to handmade.",2026-03-12,2026-03-12
wizard-name-generator,Wizard Name Generator,fun,3,"Generate a fantasy wizard name with title, realm and magical specialty. Choose your personality type and style for a unique wizard identity.",2026-03-12,2026-03-12
elf-name-generator,Elf Name Generator,fun,3,"Discover your Christmas elf name, job title and personality. Enter your real name to generate a unique elf identity perfect for holiday fun.",2026-03-12,2026-03-12
celebrity-birthday-twin,Celebrity Birthday Twin,fun,2,Find out which celebrities share your birthday. Enter your birth date to discover famous people born on the same day with their birth year and claim to fame.,2026-03-12,2026-03-12
paint-colour-mixer,Paint Colour Mixer,fun,2,Mix two colours together to see the result. Pick colours from a palette or custom picker and see what you get with hex codes and colour name approximations.,2026-03-12,2026-03-12
uk-council-tax-calculator,UK Council Tax Calculator,finance,2,Estimate your council tax by band and region. Includes single person discount and shows annual and monthly amounts based on 2026/27 rates for UK councils.,2026-03-12,2026-03-12
